regimen_id,ekfc_class,mic_mg_l,published_caz_pta_pct,published_avi_attainment_pct,source,origin_class,transformation,review_state
R11,91–120,2,98.4,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,4,86.3,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R11,91–120,8,51.3,82,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,0.0625,100,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,0.125,100,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,0.25,100,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,0.5,100,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,1,100,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,2,100,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,4,94.2,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R12,91–120,8,68.9,90,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,0.0625,100,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,0.125,100,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,0.25,100,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,0.5,100,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,1,100,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,2,100,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,4,91.9,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
R13,121–150,8,57.7,83.9,Cojutti et al. 2024 JAC dkae290 published comparison digitized/frozen in RC1,REPORTED_DIRECT,NONE,SYSTEM_NORMALIZED
