Scenario,Description,Regimen,EKFC,Distribution ID,Distribution,Base Joint CFR,Scenario Joint CFR,Base category,Scenario category,Base toxicity,Scenario toxicity,Toxicity gate changed
IIV_LOW,Both IIV SDs −20%,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.42915567282323,92.29047493403695,ACCEPTABLE,OPTIMAL,10.665,6.0600000000000005,NO
IIV_LOW,Both IIV SDs −20%,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.91703389830509,91.73207627118643,ACCEPTABLE,OPTIMAL,10.665,6.0600000000000005,NO
IIV_LOW,Both IIV SDs −20%,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.12991666666667,93.02091666666668,ACCEPTABLE,OPTIMAL,10.665,6.0600000000000005,NO
IIV_LOW,Both IIV SDs −20%,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,92.3403957783641,ACCEPTABLE,OPTIMAL,11.82,7.1499999999999995,NO
IIV_LOW,Both IIV SDs −20%,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,91.74372881355934,ACCEPTABLE,OPTIMAL,11.82,7.1499999999999995,NO
IIV_LOW,Both IIV SDs −20%,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,93.013,ACCEPTABLE,OPTIMAL,11.82,7.1499999999999995,NO
IIV_LOW,Both IIV SDs −20%,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",79.73715039577836,85.16320580474937,LOW,ACCEPTABLE,7.045,3.2199999999999998,NO
IIV_LOW,Both IIV SDs −20%,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",79.27514830508476,84.67610169491526,LOW,ACCEPTABLE,7.045,3.2199999999999998,NO
IIV_LOW,Both IIV SDs −20%,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",77.46297794117649,82.73316176470588,LOW,ACCEPTABLE,7.045,3.2199999999999998,NO
IIV_HIGH,Both IIV SDs +20%,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,83.06534300791556,ACCEPTABLE,ACCEPTABLE,11.82,16.259999999999998,YES
IIV_HIGH,Both IIV SDs +20%,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,82.56313559322035,ACCEPTABLE,ACCEPTABLE,11.82,16.259999999999998,YES
IIV_HIGH,Both IIV SDs +20%,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,80.71669117647059,ACCEPTABLE,ACCEPTABLE,11.82,16.259999999999998,YES
IIV_HIGH,Both IIV SDs +20%,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,83.67858333333334,ACCEPTABLE,ACCEPTABLE,11.82,16.259999999999998,YES
IIV_HIGH,Both IIV SDs +20%,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",80.39358333333334,76.09191666666668,ACCEPTABLE,LOW,7.045,11.225,NO
FU_AVI_LOW,AVI unbound fraction = 0.87,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",80.39358333333334,77.97066666666667,ACCEPTABLE,LOW,7.045,7.045,NO
FU_AVI_HIGH,AVI unbound fraction = 0.97,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",89.20433333333331,90.53775,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
FU_AVI_HIGH,AVI unbound fraction = 0.97,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",79.73715039577836,81.74199208443272,LOW,ACCEPTABLE,7.045,7.045,NO
FU_AVI_HIGH,AVI unbound fraction = 0.97,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",79.27514830508476,81.29006355932201,LOW,ACCEPTABLE,7.045,7.045,NO
CAZ_TARGET_2,CAZ target fCss/MIC ≥2,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",79.73715039577836,80.12555408970975,LOW,ACCEPTABLE,7.045,7.045,NO
AVI_CT_2,AVI threshold = 2 mg/L,R1,0–30,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",72.80412928759894,89.32168865435355,LOW,ACCEPTABLE,9.42,9.42,NO
AVI_CT_2,AVI threshold = 2 mg/L,R1,0–30,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",72.95300847457627,90.62033898305083,LOW,OPTIMAL,9.42,9.42,NO
AVI_CT_2,AVI threshold = 2 mg/L,R1,0–30,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",71.44227941176472,89.03838235294117,LOW,ACCEPTABLE,9.42,9.42,NO
AVI_CT_2,AVI threshold = 2 mg/L,R1,0–30,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",74.08933333333334,92.38041666666666,LOW,OPTIMAL,9.42,9.42,NO
AVI_CT_2,AVI threshold = 2 mg/L,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",88.41282321899736,97.28055408970977,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CT_2,AVI threshold = 2 mg/L,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",87.95485169491526,97.16247881355933,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CT_2,AVI threshold = 2 mg/L,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",85.96338235294118,95.01224264705881,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CT_2,AVI threshold = 2 mg/L,R8,31–60,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",89.20433333333331,98.63125000000001,ACCEPTABLE,OPTIMAL,9.62,9.62,NO
AVI_CT_2,AVI threshold = 2 mg/L,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.42915567282323,97.32420844327177,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CT_2,AVI threshold = 2 mg/L,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.91703389830509,97.09635593220337,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CT_2,AVI threshold = 2 mg/L,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.93959558823529,94.93316176470586,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CT_2,AVI threshold = 2 mg/L,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.12991666666667,98.53391666666667,ACCEPTABLE,OPTIMAL,10.665,10.665,NO
AVI_CT_2,AVI threshold = 2 mg/L,R12,91–120,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",87.49072559366755,97.51733509234828,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CT_2,AVI threshold = 2 mg/L,R12,91–120,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",86.93947033898306,97.2035593220339,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CT_2,AVI threshold = 2 mg/L,R12,91–120,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",84.95058823529412,95.02202205882354,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CT_2,AVI threshold = 2 mg/L,R12,91–120,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",88.13366666666667,98.61483333333332,ACCEPTABLE,OPTIMAL,11.82,11.82,NO
AVI_CT_2,AVI threshold = 2 mg/L,R13,121–150,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",79.73715039577836,95.53596306068602,LOW,OPTIMAL,7.045,7.045,NO
AVI_CT_2,AVI threshold = 2 mg/L,R13,121–150,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",79.27514830508476,95.42980932203389,LOW,OPTIMAL,7.045,7.045,NO
AVI_CT_2,AVI threshold = 2 mg/L,R13,121–150,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",77.46297794117649,93.31117647058824,LOW,OPTIMAL,7.045,7.045,NO
AVI_CT_2,AVI threshold = 2 mg/L,R13,121–150,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",80.39358333333334,96.88566666666665,ACCEPTABLE,OPTIMAL,7.045,7.045,NO
AVI_CT_6,AVI threshold = 6 mg/L,R8,31–60,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",88.41282321899736,74.28748021108179,ACCEPTABLE,LOW,9.62,9.62,NO
AVI_CT_6,AVI threshold = 6 mg/L,R8,31–60,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",87.95485169491526,73.78112288135593,ACCEPTABLE,LOW,9.62,9.62,NO
AVI_CT_6,AVI threshold = 6 mg/L,R8,31–60,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",85.96338235294118,72.07569852941177,ACCEPTABLE,LOW,9.62,9.62,NO
