Policy,Policy description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ mean,CAZ SD,CAZ P2.5,CAZ median,CAZ P97.5,CAZ min,CAZ max,AVI mean,AVI SD,AVI P2.5,AVI median,AVI P97.5,AVI min,AVI max,Joint mean,Joint SD,Joint P2.5,Joint median,Joint P97.5,Joint min,Joint max,Tox mean,Tox SD,Tox P2.5,Tox median,Tox P97.5,Tox min,Tox max
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,2.5,8,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.37199252418645,0.4859628480676946,97.36349999999999,98.42496042216358,99.15650263852243,96.73664907651714,99.29145118733508,72.83213333333333,6.282147672584279,62.1715,72.35,84.68,59.08,88.61000000000001,72.23944925241864,6.196867161213952,61.641028364116096,71.80299472295513,83.80332387862796,58.648469656992084,87.6642480211082,11.625633333333333,5.475302034907948,3.0697500000000004,11.065000000000001,23.766499999999997,1.54,31.230000000000004
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,2.5,8,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.26290663841809,0.23195302146521873,97.74308050847458,98.3014406779661,98.60026059322036,97.35483050847459,98.64466101694917,72.83213333333333,6.282147672584279,62.1715,72.35,84.68000000000002,59.08,88.61000000000001,71.82215635593221,6.181366772456909,61.32170338983052,71.3600847457627,83.44811334745762,58.29114406779661,87.30478813559323,11.625633333333333,5.475302034907948,3.0697500000000004,11.065000000000001,23.766499999999997,1.54,31.230000000000004
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,2.5,8,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.14315294117647,0.14581712402098848,95.80852205882353,96.17113970588234,96.35076102941177,95.54669117647057,96.37345588235294,72.83213333333333,6.282147672584279,62.171499999999995,72.35,84.68000000000002,59.08,88.61,70.18603725490196,6.0431282751920845,59.916676470588236,69.73066176470589,81.55426470588236,57.004632352941165,85.3408823529412,11.625633333333333,5.475302034907948,3.0697500000000004,11.065000000000001,23.766499999999997,1.54,31.230000000000004
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,2.5,8,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.77591000000001,0.13904249546238764,99.46120833333333,99.80583333333334,99.96751666666667,99.22066666666666,99.98266666666667,72.83213333333333,6.282147672584279,62.1715,72.35,84.67999999999999,59.080000000000005,88.61,72.80828166666666,6.276418445276063,62.15680833333333,72.34124999999999,84.66179583333333,59.05683333333334,88.56733333333334,11.625633333333333,5.475302034907948,3.0697500000000004,11.065000000000001,23.766499999999997,1.54,31.230000000000004
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.51990835532102,0.44581636669758073,97.56574340369393,98.57918205804748,99.21580408970975,97.00303430079155,99.33994722955143,72.45436666666666,6.526145866061063,61.109500000000004,72.12,84.57350000000001,58.7,88.61000000000001,71.90882093227793,6.440742056715373,60.68069459102902,71.6011741424802,83.90694327176782,58.310290237467015,87.73783641160952,12.756133333333334,5.541794293867348,3.874,12.39,24.813499999999998,2.13,32.93
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.322968220339,0.21207856460152053,97.82831779661018,98.36296610169492,98.62082944915257,97.50338983050848,98.66063559322035,72.45436666666667,6.526145866061063,61.1095,72.12,84.5735,58.699999999999996,88.61000000000001,71.46911214689266,6.422996030592631,60.29144915254237,71.13921610169491,83.42038559322035,57.939152542372874,87.33114406779663,12.756133333333334,5.541794293867348,3.874,12.39,24.813499999999998,2.13,32.93
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.18329313725489,0.133835781794501,95.87468566176472,96.20797794117647,96.374875,95.64955882352942,96.39205882352942,72.45436666666666,6.526145866061063,61.109500000000004,72.12,84.57350000000001,58.699999999999996,88.61,69.83798995098039,6.278531626157478,58.90013235294118,69.51518382352941,81.51188786764706,56.66088235294117,85.35720588235294,12.756133333333334,5.541794293867348,3.874,12.39,24.813499999999998,2.13,32.93
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R12,91–120,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.80630277777777,0.12582242302722974,99.50598333333333,99.83716666666666,99.96962083333334,99.30716666666667,99.98366666666668,72.45436666666667,6.526145866061063,61.1095,72.12,84.5735,58.699999999999996,88.61,72.43599833333333,6.520819277605105,61.10180416666667,72.1045,84.55322083333333,58.686499999999995,88.57483333333333,12.756133333333334,5.541794293867348,3.874,12.39,24.813499999999998,2.13,32.93
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R13,121–150,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",97.93031160949869,0.6296595339645606,96.61489116094988,98.020672823219,98.92258575197889,95.86174142480212,99.10965699208442,60.57836666666666,7.245682903265305,49.2095,60.09,73.84075,46.91000000000001,79.06000000000002,60.04277097625331,7.139634649635093,48.837380606860165,59.56262532981531,73.12975197889182,46.496596306068604,78.22612137203166,8.340166666666665,4.395714807375644,1.787,7.815,18.4335,0.91,25.28
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R13,121–150,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.06719646892655,0.3196836531321954,97.3472277542373,98.13811440677966,98.51271398305086,96.89241525423728,98.57754237288138,60.57836666666666,7.245682903265304,49.209500000000006,60.09,73.84074999999999,46.910000000000004,79.06,59.720215819209045,7.1265265677629115,48.512904661016954,59.259173728813565,72.83925423728812,46.24427966101695,77.89512711864408,8.340166666666665,4.395714807375644,1.787,7.815,18.4335,0.91,25.28
