Scenario,Description,Regimen,EKFC,Dose g,Interval h,Distribution ID,Distribution,CAZ CFR %,AVI weighted %,Joint CFR %,Δ Joint CFR pp,Joint PTA MIC4 %,Δ MIC4 pp,Toxicity %,Δ Toxicity pp,Origin class,Transformation,Review state
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",99.09936675461742,88.14,87.67021108179419,0.17948548812664455,88.11,0.3499999999999943,20.605,8.785,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.58514830508474,88.14000000000003,87.01508474576272,0.07561440677966402,88.11,0.3499999999999943,20.605,8.785,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.3802205882353,88.13999999999999,85.02639705882352,0.07580882352939966,88.11,0.3499999999999943,20.605,8.785,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R12,91–120,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.93816666666667,88.14,88.13950000000001,0.005833333333342239,88.11,0.3499999999999943,20.605,8.785,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R13,121–150,2.5,6,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",98.72704485488127,80.39999999999998,79.93051451187335,0.19336411609499748,80.39500000000001,0.38000000000000966,13.530000000000001,6.485000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R13,121–150,2.5,6,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",98.42713983050847,80.4,79.35080508474577,0.07565677966101703,80.39500000000001,0.38000000000000966,13.530000000000001,6.485000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R13,121–150,2.5,6,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",96.24411764705881,80.40000000000003,77.51404411764707,0.05106617647058442,80.39500000000001,0.38000000000000966,13.530000000000001,6.485000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_LOW,CAZ typical clearance −20%,R13,121–150,2.5,6,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",99.86975,80.4,80.39991666666667,0.006333333333330415,80.39500000000001,0.38000000000000966,13.530000000000001,6.485000000000001,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R1,0–30,0.625,12,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",91.25420844327178,74.22,72.05121372031662,-0.7529155672823151,58.79,-7.634999999999998,7.180000000000001,-2.2399999999999993,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
CAZ_CL_HIGH,CAZ typical clearance +20%,R1,0–30,0.625,12,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",93.87991525423729,74.22,72.69940677966102,-0.25360169491524687,58.79,-7.634999999999998,7.180000000000001,-2.2399999999999993,MODEL_INFERRED,SCENARIO_GENERATION,USER_REVIEW_REQUIRED
