Policy,Policy description,Regimen,EKFC,Distribution ID,Distribution,Draws,P(Joint CFR ≥90),P(Joint CFR ≥80),P(Toxicity ≤15),P(Joint ≥80 and Toxicity ≤15)
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.13,0.7466666666666667,0.09333333333333334
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.056666666666666664,0.7466666666666667,0.043333333333333335
POLICY_AVI_HIGH,CAZ target 4; AVI CT 6,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,0,0.16666666666666666,0.7466666666666667,0.11666666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_LENIENT,CAZ target 2; AVI CT 2,R10,61–90,FR2024_OXA484_SERINE_ONLY,"French OXA-484 Enterobacterales, serine-only",300,1,1,0.7466666666666667,0.7466666666666667
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R10,61–90,LEE2022_KPC_KP,"KPC-like CR-K. pneumoniae, ATLAS 2020",300,0,0.11666666666666667,0.7466666666666667,0.08
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R10,61–90,LEE2022_OXA_KP,"OXA-like CR-K. pneumoniae, ATLAS 2020",300,0,0.12,0.7466666666666667,0.08666666666666667
POLICY_CONSERVATIVE,CAZ target 6; AVI CT 6,R10,61–90,INDIA2022_OXA48_KP,"OXA-48-like CR-K. pneumoniae, India",300,0,0.056666666666666664,0.7466666666666667,0.043333333333333335
