ekfc_class,regimen,mic_mg_l,metric,mean,sd,min,max,range_pp
31–60,R6,8,Joint PTA,21.36,0.24359289809023668,21.029999999999998,21.695,0.6650000000000027
31–60,R6,8,Toxicity,0.7969999999999999,0.038177218337642135,0.76,0.855,0.09499999999999997
31–60,R7,4,CAZ PTA,82.987,0.3209867598515557,82.49,83.30499999999999,0.8149999999999977
31–60,R7,4,AVI attainment,80.31099999999999,0.27134848442546733,79.965,80.64,0.6749999999999972
31–60,R7,4,Joint PTA,77.922,0.30513521592893644,77.56,78.27,0.7099999999999937
31–60,R7,4,Toxicity,3.851,0.10899541274750978,3.73,3.9800000000000004,0.25000000000000044
31–60,R7,8,CAZ PTA,43.967999999999996,0.27499090894064016,43.69,44.315,0.625
31–60,R7,8,AVI attainment,80.31099999999999,0.27134848442546733,79.965,80.64,0.6749999999999972
31–60,R7,8,Joint PTA,43.962,0.2758305639337315,43.685,44.31,0.625
31–60,R7,8,Toxicity,3.851,0.10899541274750978,3.73,3.9800000000000004,0.25000000000000044
31–60,R8,4,CAZ PTA,92.065,0.1624038176891194,91.95,92.34,0.39000000000000057
31–60,R8,4,AVI attainment,89.697,0.25373706863601914,89.395,89.985,0.5900000000000034
31–60,R8,4,Joint PTA,88.494,0.26993980810543655,88.125,88.75999999999999,0.6349999999999909
31–60,R8,4,Toxicity,9.477999999999998,0.17932512372782566,9.16,9.59,0.4299999999999997
31–60,R8,8,CAZ PTA,62.137,0.30080309173942854,61.79,62.544999999999995,0.7549999999999955
31–60,R8,8,AVI attainment,89.697,0.25373706863601914,89.395,89.985,0.5900000000000034
31–60,R8,8,Joint PTA,62.126999999999995,0.3018401895043117,61.78,62.535,0.7549999999999955
31–60,R8,8,Toxicity,9.477999999999998,0.17932512372782566,9.16,9.59,0.4299999999999997
61–90,R9,4,CAZ PTA,80.069,0.3832655737214119,79.52,80.435,0.9150000000000063
61–90,R9,4,AVI attainment,73.106,0.5095022080423258,72.50999999999999,73.87,1.3600000000000136
61–90,R9,4,Joint PTA,71.535,0.45283827135082066,71.075,72.205,1.1299999999999955
61–90,R9,4,Toxicity,2.878,0.12592656590251336,2.6599999999999997,2.96,0.30000000000000027
61–90,R9,8,CAZ PTA,39.617,0.5433070034520051,38.89,40.044999999999995,1.154999999999994
61–90,R9,8,AVI attainment,73.106,0.5095022080423258,72.50999999999999,73.87,1.3600000000000136
61–90,R9,8,Joint PTA,39.597,0.5438588971415291,38.865,40.04,1.1749999999999972
61–90,R9,8,Toxicity,2.878,0.12592656590251336,2.6599999999999997,2.96,0.30000000000000027
61–90,R10,4,CAZ PTA,93.26799999999999,0.05368891878217977,93.215,93.35,0.1349999999999909
61–90,R10,4,AVI attainment,88.537,0.22609732417699893,88.215,88.735,0.519999999999996
61–90,R10,4,Joint PTA,87.97200000000001,0.2510129478732101,87.66000000000001,88.28,0.6199999999999903
61–90,R10,4,Toxicity,10.498000000000001,0.20397916560276425,10.165000000000001,10.71,0.5449999999999999
61–90,R10,8,CAZ PTA,64.901,0.42865195672013384,64.525,65.59,1.0649999999999977
61–90,R10,8,AVI attainment,88.537,0.22609732417699893,88.215,88.735,0.519999999999996
61–90,R10,8,Joint PTA,64.881,0.4306884024442699,64.495,65.57,1.0749999999999886
61–90,R10,8,Toxicity,10.498000000000001,0.20397916560276425,10.165000000000001,10.71,0.5449999999999999
91–120,R11,4,CAZ PTA,86.824,0.2407124840966933,86.58,87.095,0.5150000000000006
91–120,R11,4,AVI attainment,77.865,0.32800533532246207,77.36,78.125,0.7650000000000006
91–120,R11,4,Joint PTA,77.16599999999998,0.352036929880946,76.64999999999999,77.46,0.8100000000000023
91–120,R11,4,Toxicity,5.09,0.16305673859120293,4.8500000000000005,5.26,0.40999999999999925
91–120,R11,8,CAZ PTA,50.134,0.5331908663883891,49.345,50.68,1.3350000000000009
91–120,R11,8,AVI attainment,77.865,0.32800533532246207,77.36,78.125,0.7650000000000006
91–120,R11,8,Joint PTA,50.092,0.5378847460190693,49.29,50.654999999999994,1.3649999999999949
91–120,R11,8,Toxicity,5.09,0.16305673859120293,4.8500000000000005,5.26,0.40999999999999925
