scenario,regimen,distribution_id,base_joint_cfr_pct,scenario_joint_cfr_pct,delta_joint_cfr_pp,base_toxicity_pct,scenario_toxicity_pct
AVI_CL_LOW,R1,FR2024_OXA484_SERINE_ONLY,74.78941666666668,82.23283333333333,7.44341666666665,9.28,9.28
AVI_CL_LOW,R8,LEE2022_KPC_KP,88.60091029023748,93.0592612137203,4.458350923482826,9.16,9.16
AVI_CL_LOW,R8,LEE2022_OXA_KP,88.12885593220338,92.69542372881354,4.566567796610158,9.16,9.16
AVI_CL_LOW,R8,INDIA2022_OXA48_KP,86.13003676470588,90.6099632352941,4.479926470588225,9.16,9.16
AVI_CL_LOW,R8,FR2024_OXA484_SERINE_ONLY,89.37675,94.03966666666666,4.662916666666661,9.16,9.16
AVI_CL_LOW,R10,LEE2022_KPC_KP,87.69290237467017,92.65907651715038,4.966174142480213,10.71,10.71
AVI_CL_LOW,R10,LEE2022_OXA_KP,87.17175847457628,92.21055084745761,5.038792372881332,10.71,10.71
AVI_CL_LOW,R10,INDIA2022_OXA48_KP,85.18297794117646,90.1239338235294,4.940955882352938,10.71,10.71
AVI_CL_LOW,R10,FR2024_OXA484_SERINE_ONLY,88.38483333333332,93.52266666666665,5.137833333333333,10.71,10.71
AVI_CL_LOW,R12,LEE2022_KPC_KP,87.77224274406333,92.8442875989446,5.07204485488127,12.19,12.19
AVI_CL_LOW,R12,LEE2022_OXA_KP,87.21313559322033,92.32849576271187,5.115360169491538,12.19,12.19
AVI_CL_LOW,R12,INDIA2022_OXA48_KP,85.21536764705881,90.22974264705884,5.01437500000003,12.19,12.19
AVI_CL_LOW,R12,FR2024_OXA484_SERINE_ONLY,88.40883333333332,93.61983333333332,5.2109999999999985,12.19,12.19
AVI_CL_LOW,R13,LEE2022_KPC_KP,80.51998680738788,87.68676781002638,7.166781002638501,7.21,7.21
AVI_CL_LOW,R13,LEE2022_OXA_KP,80.0549152542373,87.2877754237288,7.232860169491502,7.21,7.21
AVI_CL_LOW,R13,INDIA2022_OXA48_KP,78.22698529411764,85.3172794117647,7.090294117647062,7.21,7.21
AVI_CL_LOW,R13,FR2024_OXA484_SERINE_ONLY,81.18308333333333,88.55191666666667,7.368833333333342,7.21,7.21
AVI_CL_HIGH,R1,LEE2022_KPC_KP,73.50026385224272,67.0231266490765,-6.477137203166222,9.28,9.28
AVI_CL_HIGH,R1,LEE2022_OXA_KP,73.64296610169494,66.93783898305087,-6.7051271186440715,9.28,9.28
AVI_CL_HIGH,R1,INDIA2022_OXA48_KP,72.1160661764706,65.53422794117648,-6.581838235294114,9.28,9.28
AVI_CL_HIGH,R1,FR2024_OXA484_SERINE_ONLY,74.78941666666668,67.93166666666667,-6.85775000000001,9.28,9.28
AVI_CL_HIGH,R8,LEE2022_KPC_KP,88.60091029023748,83.40009234828496,-5.200817941952522,9.16,9.16
AVI_CL_HIGH,R8,LEE2022_OXA_KP,88.12885593220338,82.88885593220341,-5.2399999999999665,9.16,9.16
AVI_CL_HIGH,R8,INDIA2022_OXA48_KP,86.13003676470588,80.99382352941176,-5.136213235294122,9.16,9.16
AVI_CL_HIGH,R8,FR2024_OXA484_SERINE_ONLY,89.37675,84.03966666666668,-5.337083333333325,9.16,9.16
AVI_CL_HIGH,R10,LEE2022_KPC_KP,87.69290237467017,81.9727704485488,-5.720131926121368,10.71,10.71
AVI_CL_HIGH,R10,LEE2022_OXA_KP,87.17175847457628,81.4319279661017,-5.739830508474583,10.71,10.71
AVI_CL_HIGH,R10,INDIA2022_OXA48_KP,85.18297794117646,79.5583088235294,-5.624669117647059,10.71,10.71
AVI_CL_HIGH,R10,FR2024_OXA484_SERINE_ONLY,88.38483333333332,82.54258333333334,-5.842249999999979,10.71,10.71
AVI_CL_HIGH,R12,LEE2022_KPC_KP,87.77224274406333,81.74668865435356,-6.025554089709772,12.19,12.19
AVI_CL_HIGH,R12,LEE2022_OXA_KP,87.21313559322033,81.17855932203389,-6.034576271186438,12.19,12.19
AVI_CL_HIGH,R12,INDIA2022_OXA48_KP,85.21536764705881,79.303125,-5.912242647058818,12.19,12.19
AVI_CL_HIGH,R12,FR2024_OXA484_SERINE_ONLY,88.40883333333332,82.26899999999999,-6.139833333333328,12.19,12.19
AVI_CL_HIGH,R13,LEE2022_KPC_KP,80.51998680738788,72.36460422163589,-8.155382585751994,7.21,7.21
AVI_CL_HIGH,R13,LEE2022_OXA_KP,80.0549152542373,71.89209745762712,-8.162817796610184,7.21,7.21
AVI_CL_HIGH,R13,INDIA2022_OXA48_KP,78.22698529411764,70.23011029411764,-7.996875000000003,7.21,7.21
AVI_CL_HIGH,R13,FR2024_OXA484_SERINE_ONLY,81.18308333333333,72.87883333333333,-8.304249999999996,7.21,7.21
IIV_LOW,R1,LEE2022_KPC_KP,73.50026385224272,75.57075197889182,2.0704881266490958,9.28,7.93
IIV_LOW,R1,LEE2022_OXA_KP,73.64296610169494,75.72497881355933,2.082012711864394,9.28,7.93
IIV_LOW,R1,INDIA2022_OXA48_KP,72.1160661764706,74.15591911764704,2.0398529411764486,9.28,7.93
IIV_LOW,R1,FR2024_OXA484_SERINE_ONLY,74.78941666666668,76.92158333333333,2.132166666666649,9.28,7.93
IIV_LOW,R8,LEE2022_KPC_KP,88.60091029023748,92.973654353562,4.372744063324518,9.16,5.01
IIV_LOW,R8,LEE2022_OXA_KP,88.12885593220338,92.4583686440678,4.3295127118644245,9.16,5.01
IIV_LOW,R8,INDIA2022_OXA48_KP,86.13003676470588,90.33772058823529,4.207683823529408,9.16,5.01
IIV_LOW,R8,FR2024_OXA484_SERINE_ONLY,89.37675,93.77425000000001,4.397500000000008,9.16,5.01
IIV_LOW,R10,LEE2022_KPC_KP,87.69290237467017,92.44364116094987,4.7507387862796975,10.71,6.13
IIV_LOW,R10,LEE2022_OXA_KP,87.17175847457628,91.87521186440678,4.7034533898305,10.71,6.13
IIV_LOW,R10,INDIA2022_OXA48_KP,85.18297794117646,89.7513970588235,4.568419117647039,10.71,6.13
IIV_LOW,R10,FR2024_OXA484_SERINE_ONLY,88.38483333333332,93.16174999999998,4.776916666666665,10.71,6.13
IIV_LOW,R12,LEE2022_KPC_KP,87.77224274406333,92.62401055408971,4.851767810026374,12.19,7.085
IIV_LOW,R12,LEE2022_OXA_KP,87.21313559322033,92.01813559322034,4.805000000000007,12.19,7.085
IIV_LOW,R12,INDIA2022_OXA48_KP,85.21536764705881,89.8787132352941,4.663345588235288,12.19,7.085
IIV_LOW,R12,FR2024_OXA484_SERINE_ONLY,88.40883333333332,93.28891666666667,4.880083333333346,12.19,7.085
IIV_LOW,R13,LEE2022_KPC_KP,80.51998680738788,85.5790105540897,5.0590237467018255,7.21,3.34
IIV_LOW,R13,LEE2022_OXA_KP,80.0549152542373,85.08671610169492,5.0318008474576175,7.21,3.34
IIV_LOW,R13,INDIA2022_OXA48_KP,78.22698529411764,83.13198529411764,4.905000000000001,7.21,3.34
IIV_LOW,R13,FR2024_OXA484_SERINE_ONLY,81.18308333333333,86.29816666666666,5.115083333333331,7.21,3.34
IIV_HIGH,R1,LEE2022_KPC_KP,73.50026385224272,71.70170184696569,-1.7985620052770344,9.28,10.73
IIV_HIGH,R1,LEE2022_OXA_KP,73.64296610169494,71.8401906779661,-1.802775423728832,9.28,10.73
IIV_HIGH,R1,INDIA2022_OXA48_KP,72.1160661764706,70.3643382352941,-1.7517279411764974,9.28,10.73
IIV_HIGH,R1,FR2024_OXA484_SERINE_ONLY,74.78941666666668,72.94441666666667,-1.845000000000013,9.28,10.73
IIV_HIGH,R8,LEE2022_KPC_KP,88.60091029023748,84.74833773087073,-3.852572559366749,9.16,13.555
IIV_HIGH,R8,LEE2022_OXA_KP,88.12885593220338,84.33052966101695,-3.7983262711864256,9.16,13.555
IIV_HIGH,R8,INDIA2022_OXA48_KP,86.13003676470588,82.45044117647059,-3.679595588235287,9.16,13.555
IIV_HIGH,R8,FR2024_OXA484_SERINE_ONLY,89.37675,85.51183333333334,-3.864916666666659,9.16,13.555
IIV_HIGH,R10,LEE2022_KPC_KP,87.69290237467017,83.59108179419526,-4.101820580474907,10.71,15.055
