model,bsv,regimen,ekfc_class,dose_g,interval_h,mic_mg_l,caz_pta_pct,avi_attainment_pct,joint_pta_pct,toxicity_pct,limiting_component
M1_Cojutti_2024,structural,R8,31–60,2.5,12,1,99.995,89.395,89.395,9.16,avibactam
M1_Cojutti_2024,structural,R8,31–60,2.5,12,2,99.41499999999999,89.395,89.395,9.16,avibactam
M1_Cojutti_2024,structural,R8,31–60,2.5,12,4,91.97999999999999,89.395,88.3,9.16,avibactam
M1_Cojutti_2024,structural,R8,31–60,2.5,12,8,62.165000000000006,89.395,62.144999999999996,9.16,ceftazidime
M1_Cojutti_2024,structural,R8,31–60,2.5,12,16,21.705,89.395,21.705,9.16,ceftazidime
M1_Cojutti_2024,structural,R8,31–60,2.5,12,32,2.8649999999999998,89.395,2.8649999999999998,9.16,ceftazidime
M1_Cojutti_2024,structural,R8,31–60,2.5,12,64,0.165,89.395,0.165,9.16,ceftazidime
M1_Cojutti_2024,structural,R9,61–90,2.5,12,0.0625,100.0,73.175,73.175,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,0.125,100.0,73.175,73.175,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,0.25,100.0,73.175,73.175,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,0.5,100.0,73.175,73.175,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,1,99.92,73.175,73.175,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,2,97.39999999999999,73.175,73.175,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,4,80.035,73.175,71.67,2.88,avibactam
M1_Cojutti_2024,structural,R9,61–90,2.5,12,8,40.044999999999995,73.175,40.04,2.88,ceftazidime
M1_Cojutti_2024,structural,R9,61–90,2.5,12,16,8.43,73.175,8.43,2.88,ceftazidime
M1_Cojutti_2024,structural,R9,61–90,2.5,12,32,0.58,73.175,0.58,2.88,ceftazidime
M1_Cojutti_2024,structural,R9,61–90,2.5,12,64,0.034999999999999996,73.175,0.034999999999999996,2.88,ceftazidime
M1_Cojutti_2024,structural,R10,61–90,2.5,8,0.0625,100.0,88.395,88.395,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,0.125,100.0,88.395,88.395,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,0.25,100.0,88.395,88.395,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,0.5,100.0,88.395,88.395,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,1,99.995,88.395,88.395,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,2,99.575,88.395,88.395,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,4,93.22500000000001,88.395,87.785,10.71,avibactam
M1_Cojutti_2024,structural,R10,61–90,2.5,8,8,65.035,88.395,65.02,10.71,ceftazidime
M1_Cojutti_2024,structural,R10,61–90,2.5,8,16,23.615,88.395,23.615,10.71,ceftazidime
M1_Cojutti_2024,structural,R10,61–90,2.5,8,32,3.335,88.395,3.335,10.71,ceftazidime
M1_Cojutti_2024,structural,R10,61–90,2.5,8,64,0.1,88.395,0.1,10.71,ceftazidime
