rho_scenario,target_scenario,regimen,ekfc_class,joint_cfr_median,joint_cfr_p2.5,joint_cfr_p97.5,prediction_interval_width_pp,p_permissible_pct,p_joint_cfr_ge_80_pct
C1_cojutti,T6_lognormal,R8,31–60,97.62,73.27,99.14,25.87,71.6,96.0
C1_cojutti,T6_lognormal,R9,61–90,94.63,52.4,98.16,45.76,95.5,89.6
C1_cojutti,T6_lognormal,R10,61–90,97.75,72.17,99.2,27.02,69.0,95.7
C1_cojutti,T6_lognormal,R11,91–120,96.56,60.41,98.78,38.37,90.1,92.8
C1_cojutti,T6_lognormal,R12,91–120,98.16,72.77,99.29,26.52,62.5,95.9
C1_cojutti,T6_lognormal,R13,121–150,96.81,60.75,98.96,38.21,86.4,91.9
C1_cojutti,T7_coleman_evidence,R1,0–30,93.69,85.48,97.27,11.8,81.9,99.9
C1_cojutti,T7_coleman_evidence,R2,0–30,97.09,91.26,98.84,7.58,34.2,100.0
C1_cojutti,T7_coleman_evidence,R5,31–60,88.23,78.75,92.98,14.23,99.7,96.2
C1_cojutti,T7_coleman_evidence,R6,31–60,93.11,84.24,96.28,12.04,99.1,99.5
C1_cojutti,T7_coleman_evidence,R7,31–60,96.89,90.1,98.57,8.47,93.8,100.0
C1_cojutti,T7_coleman_evidence,R8,31–60,98.31,93.38,99.19,5.81,72.4,100.0
C1_cojutti,T7_coleman_evidence,R9,61–90,96.4,89.44,98.38,8.94,95.7,100.0
C1_cojutti,T7_coleman_evidence,R10,61–90,98.42,93.77,99.26,5.49,68.7,100.0
C1_cojutti,T7_coleman_evidence,R11,91–120,97.64,92.03,98.95,6.93,89.7,100.0
C1_cojutti,T7_coleman_evidence,R12,91–120,98.68,94.64,99.36,4.72,64.0,100.0
C1_cojutti,T7_coleman_evidence,R13,121–150,97.88,92.14,99.12,6.98,85.5,100.0
C2_model1,T1_point_1,R1,0–30,92.58,84.78,96.76,11.97,82.2,99.9
C2_model1,T1_point_1,R2,0–30,96.6,90.73,98.72,7.99,34.6,100.0
C2_model1,T1_point_1,R5,31–60,85.27,74.82,91.72,16.9,99.9,85.9
C2_model1,T1_point_1,R6,31–60,91.25,81.92,95.76,13.84,99.2,99.2
C2_model1,T1_point_1,R7,31–60,96.12,89.16,98.44,9.28,93.0,100.0
C2_model1,T1_point_1,R8,31–60,97.92,92.83,99.15,6.32,72.2,100.0
C2_model1,T1_point_1,R9,61–90,95.4,87.54,98.2,10.66,96.0,100.0
C2_model1,T1_point_1,R10,61–90,98.1,92.86,99.23,6.37,69.0,100.0
C2_model1,T1_point_1,R11,91–120,96.96,90.58,98.81,8.23,90.6,100.0
C2_model1,T1_point_1,R12,91–120,98.38,93.81,99.31,5.5,62.4,100.0
C2_model1,T1_point_1,R13,121–150,97.28,90.89,98.99,8.1,86.4,100.0
C2_model1,T2_point_4,R1,0–30,72.55,59.62,83.92,24.3,82.2,11.5
C2_model1,T2_point_4,R2,0–30,85.46,74.21,94.29,20.08,34.6,84.0
