rho_scenario,target_scenario,ekfc_class,regimen,p_optimal_pct,is_fixed_threshold_choice,mean_utility
C1_cojutti,T4_uniform,31–60,R6,12.3,no,77.79
C1_cojutti,T4_uniform,31–60,R7,55.6,no,84.5
C1_cojutti,T4_uniform,31–60,R8,31.9,yes,83.07
C1_cojutti,T4_uniform,61–90,R9,57.0,no,82.78
C1_cojutti,T4_uniform,61–90,R10,43.0,yes,82.28
C1_cojutti,T4_uniform,91–120,R11,75.2,no,84.07
C1_cojutti,T4_uniform,91–120,R12,24.8,yes,81.72
C1_cojutti,T4_uniform,121–150,R13,100.0,yes,82.89
C1_cojutti,T5_triangular,0–30,R1,70.3,no,77.73
C1_cojutti,T5_triangular,0–30,R2,29.7,yes,76.31
C1_cojutti,T5_triangular,31–60,R5,0.2,no,75.26
C1_cojutti,T5_triangular,31–60,R6,18.8,no,83.01
C1_cojutti,T5_triangular,31–60,R7,63.4,no,87.18
C1_cojutti,T5_triangular,31–60,R8,17.5,yes,84.57
C1_cojutti,T5_triangular,61–90,R9,75.9,no,86.32
C1_cojutti,T5_triangular,61–90,R10,24.1,yes,83.9
C1_cojutti,T5_triangular,91–120,R11,89.1,no,86.85
C1_cojutti,T5_triangular,91–120,R12,10.8,yes,83.26
C1_cojutti,T5_triangular,121–150,R13,100.0,yes,85.73
C1_cojutti,T6_lognormal,0–30,R1,76.2,no,77.78
C1_cojutti,T6_lognormal,0–30,R2,23.8,yes,76.04
C1_cojutti,T6_lognormal,31–60,R5,0.2,no,76.98
C1_cojutti,T6_lognormal,31–60,R6,25.1,no,83.31
C1_cojutti,T6_lognormal,31–60,R7,57.4,no,86.72
C1_cojutti,T6_lognormal,31–60,R8,17.2,yes,84.19
C1_cojutti,T6_lognormal,61–90,R9,79.3,no,85.96
C1_cojutti,T6_lognormal,61–90,R10,20.7,yes,83.51
C1_cojutti,T6_lognormal,91–120,R11,87.2,no,86.3
C1_cojutti,T6_lognormal,91–120,R12,12.8,yes,82.8
C1_cojutti,T6_lognormal,121–150,R13,100.0,yes,85.22
C1_cojutti,T7_coleman_evidence,0–30,R1,93.0,no,82.19
C1_cojutti,T7_coleman_evidence,0–30,R2,7.0,yes,78.6
C1_cojutti,T7_coleman_evidence,31–60,R5,0.7,no,86.66
C1_cojutti,T7_coleman_evidence,31–60,R6,38.4,no,90.31
C1_cojutti,T7_coleman_evidence,31–60,R7,57.2,no,90.71
C1_cojutti,T7_coleman_evidence,31–60,R8,3.8,yes,86.66
C1_cojutti,T7_coleman_evidence,61–90,R9,96.5,no,91.09
C1_cojutti,T7_coleman_evidence,61–90,R10,3.5,yes,86.19
C1_cojutti,T7_coleman_evidence,91–120,R11,98.6,no,90.44
C1_cojutti,T7_coleman_evidence,91–120,R12,1.4,yes,85.34
C1_cojutti,T7_coleman_evidence,121–150,R13,100.0,yes,89.4
C2_model1,T1_point_1,0–30,R1,90.6,no,81.26
C2_model1,T1_point_1,0–30,R2,9.3,yes,78.27
C2_model1,T1_point_1,31–60,R5,0.1,no,83.77
C2_model1,T1_point_1,31–60,R6,30.0,no,88.63
C2_model1,T1_point_1,31–60,R7,63.2,no,89.96
C2_model1,T1_point_1,31–60,R8,6.8,yes,86.27
C2_model1,T1_point_1,61–90,R9,93.8,no,90.11
C2_model1,T1_point_1,61–90,R10,6.2,yes,85.77
C2_model1,T1_point_1,91–120,R11,97.0,no,89.7
C2_model1,T1_point_1,91–120,R12,3.0,yes,84.91
C2_model1,T1_point_1,121–150,R13,100.0,yes,88.74
C2_model1,T2_point_4,0–30,R1,2.1,no,61.6
C2_model1,T2_point_4,0–30,R2,97.9,yes,67.4
C2_model1,T2_point_4,31–60,R5,0.0,no,41.08
C2_model1,T2_point_4,31–60,R6,0.0,no,56.4
C2_model1,T2_point_4,31–60,R7,8.1,no,72.44
C2_model1,T2_point_4,31–60,R8,92.0,yes,76.12
C2_model1,T2_point_4,61–90,R9,0.9,no,67.08
C2_model1,T2_point_4,61–90,R10,99.1,yes,74.71
C2_model1,T2_point_4,91–120,R11,11.9,no,71.58
C2_model1,T2_point_4,91–120,R12,88.1,yes,74.63
C2_model1,T2_point_4,121–150,R13,100.0,yes,70.59
C2_model1,T3_discrete,0–30,R1,61.6,no,74.86
C2_model1,T3_discrete,0–30,R2,38.4,yes,74.59
C2_model1,T3_discrete,31–60,R5,0.4,no,70.37
